Number of Threads    Time (Seconds)  Speedup        
1                    59.735870       1.000000       
2                    40.367561       1.479799       
3                    47.612964       1.254614       
4                    42.872244       1.393346       
5                    27.647538       2.160622       
6                    28.749324       2.077818       
7                    38.563960       1.549008       
8                    33.798731       1.767400       
9                    44.221389       1.350837       
10                   40.790928       1.464440       
11                   40.385686       1.479135       
12                   42.496753       1.405657       
13                   43.473536       1.374074       
14                   41.385003       1.443418       
15                   41.461082       1.440770       
16                   43.113436       1.385551       
