Number of Threads    Time (Seconds)  Speedup        
1                    13.501807       1.000000       
2                    7.182802        1.879741       
3                    4.947709        2.728901       
4                    3.748768        3.601665       
5                    3.156361        4.277650       
6                    4.148926        3.254290       
7                    3.682376        3.666602       
8                    3.278091        4.118802       
9                    3.130403        4.313121       
10                   2.923179        4.618878       
11                   3.103685        4.350250       
12                   2.948709        4.578888       
13                   2.784723        4.848528       
14                   2.771303        4.872007       
15                   2.674640        5.048084       
16                   2.724469        4.955757       
